Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,12,UBUNGO,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,87,3488,0.1
2348,DAR ES SALAAM,271,MANISPAA YA KINONDONI,12,UBUNGO,PROF LEONARD KANANGWE SHAYO,MAKINI,M,76,3488,0.1
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2348,DAR ES SALAAM,272,MANISPAA YA TEMEKE,13,KIGAMBONI,JAKAYA MRISHO KIKWETE,CCM,M,86657,4244,65.4
2348,DAR ES SALAAM,272,MANISPAA YA TEMEKE,13,KIGAMBONI,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,41639,4244,31.4
2348,DAR ES SALAAM,272,MANISPAA YA TEMEKE,13,KIGAMBONI,FREEMAN AIKAELI MBOWE,CHADEMA,M,3196,4244,2.4
2348,DAR ES SALAAM,272,MANISPAA YA TEMEKE,13,KIGAMBONI,AUGUSTINE LYATONGA MREMA,TLP,M,395,4244,0.3
2348,DAR ES SALAAM,272,MANISPAA YA TEMEKE,13,KIGAMBONI,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,151,4244,0.1
2348,DAR ES SALAAM,272,MANISPAA YA TEMEKE,13,KIGAMBONI,PROF LEONARD KANANGWE SHAYO,MAKINI,M,120,4244,0.1
2348,DAR ES SALAAM,272,MANISPAA YA TEMEKE,13,KIGAMBONI,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,120,4244,0.1
2348,DAR ES SALAAM,272,MANISPAA YA TEMEKE,13,KIGAMBONI,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,95,4244,0.1
2348,DAR ES SALAAM,272,MANISPAA YA TEMEKE,13,KIGAMBONI,PAUL HENRY KYARA,SAU,M,93,4244,0.1
2348,DAR ES SALAAM,272,MANISPAA YA TEMEKE,13,KIGAMBONI,DR EMMANUEL JOHN MAKAIDI,NLD,M,92,4244,0.1
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2348,DAR ES SALAAM,272,MANISPAA YA TEMEKE,14,TEMEKE,JAKAYA MRISHO KIKWETE,CCM,M,115560,6424,66
2348,DAR ES SALAAM,272,MANISPAA YA TEMEKE,14,TEMEKE,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,51599,6424,29.5
2348,DAR ES SALAAM,272,MANISPAA YA TEMEKE,14,TEMEKE,FREEMAN AIKAELI MBOWE,CHADEMA,M,6205,6424,3.5
2348,DAR ES SALAAM,272,MANISPAA YA TEMEKE,14,TEMEKE,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,786,6424,0.4
2348,DAR ES SALAAM,272,MANISPAA YA TEMEKE,14,TEMEKE,AUGUSTINE LYATONGA MREMA,TLP,M,415,6424,0.2
2348,DAR ES SALAAM,272,MANISPAA YA TEMEKE,14,TEMEKE,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,190,6424,0.1
2348,DAR ES SALAAM,272,MANISPAA YA TEMEKE,14,TEMEKE,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,157,6424,0.1
2348,DAR ES SALAAM,272,MANISPAA YA TEMEKE,14,TEMEKE,PAUL HENRY KYARA,SAU,M,96,6424,0.1
2348,DAR ES SALAAM,272,MANISPAA YA TEMEKE,14,TEMEKE,DR EMMANUEL JOHN MAKAIDI,NLD,M,88,6424,0.1
2348,DAR ES SALAAM,272,MANISPAA YA TEMEKE,14,TEMEKE,PROF LEONARD KANANGWE SHAYO,MAKINI,M,80,6424,0
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2349,DODOMA,273,MANISPAA YA DODOMA,15,DODOMA MJINI,JAKAYA MRISHO KIKWETE,CCM,M,93622,4101,89.2
2349,DODOMA,273,MANISPAA YA DODOMA,15,DODOMA MJINI,FREEMAN AIKAELI MBOWE,CHADEMA,M,6250,4101,6
2349,DODOMA,273,MANISPAA YA DODOMA,15,DODOMA MJINI,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,3010,4101,2.9
2349,DODOMA,273,MANISPAA YA DODOMA,15,DODOMA MJINI,AUGUSTINE LYATONGA MREMA,TLP,M,1052,4101,1
2349,DODOMA,273,MANISPAA YA DODOMA,15,DODOMA MJINI,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,337,4101,0.3
2349,DODOMA,273,MANISPAA YA DODOMA,15,DODOMA MJINI,PAUL HENRY KYARA,SAU,M,242,4101,0.2
2349,DODOMA,273,MANISPAA YA DODOMA,15,DODOMA MJINI,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,174,4101,0.2
2349,DODOMA,273,MANISPAA YA DODOMA,15,DODOMA MJINI,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,131,4101,0.1
2349,DODOMA,273,MANISPAA YA DODOMA,15,DODOMA MJINI,DR EMMANUEL JOHN MAKAIDI,NLD,M,88,4101,0.1
2349,DODOMA,273,MANISPAA YA DODOMA,15,DODOMA MJINI,PROF LEONARD KANANGWE SHAYO,MAKINI,M,71,4101,0.1
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2349,DODOMA,274,WILAYA YA DODOMA,16,BAHI,JAKAYA MRISHO KIKWETE,CCM,M,52762,2745,92.5
2349,DODOMA,274,WILAYA YA DODOMA,16,BAHI,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,1508,2745,2.6
2349,DODOMA,274,WILAYA YA DODOMA,16,BAHI,FREEMAN AIKAELI MBOWE,CHADEMA,M,1444,2745,2.5
2349,DODOMA,274,WILAYA YA DODOMA,16,BAHI,AUGUSTINE LYATONGA MREMA,TLP,M,572,2745,1
2349,DODOMA,274,WILAYA YA DODOMA,16,BAHI,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,236,2745,0.4
2349,DODOMA,274,WILAYA YA DODOMA,16,BAHI,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,189,2745,0.3
2349,DODOMA,274,WILAYA YA DODOMA,16,BAHI,DR EMMANUEL JOHN MAKAIDI,NLD,M,87,2745,0.2
2349,DODOMA,274,WILAYA YA DODOMA,16,BAHI,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,87,2745,0.2
2349,DODOMA,274,WILAYA YA DODOMA,16,BAHI,PAUL HENRY KYARA,SAU,M,68,2745,0.1
2349,DODOMA,274,WILAYA YA DODOMA,16,BAHI,PROF LEONARD KANANGWE SHAYO,MAKINI,M,65,2745,0.1
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2349,DODOMA,274,WILAYA YA DODOMA,17,CHILONWA,JAKAYA MRISHO KIKWETE,CCM,M,36897,1821,94.9
2349,DODOMA,274,WILAYA YA DODOMA,17,CHILONWA,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,1042,1821,2.7
2349,DODOMA,274,WILAYA YA DODOMA,17,CHILONWA,AUGUSTINE LYATONGA MREMA,TLP,M,293,1821,0.8
2349,DODOMA,274,WILAYA YA DODOMA,17,CHILONWA,FREEMAN AIKAELI MBOWE,CHADEMA,M,268,1821,0.7
2349,DODOMA,274,WILAYA YA DODOMA,17,CHILONWA,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,121,1821,0.3
2349,DODOMA,274,WILAYA YA DODOMA,17,CHILONWA,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,98,1821,0.3
2349,DODOMA,274,WILAYA YA DODOMA,17,CHILONWA,DR EMMANUEL JOHN MAKAIDI,NLD,M,57,1821,0.1
